Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:30 am,22.6,21.5,32,CALM,0 0,0 0,1019.4,0.0,2025-09-25
9:00 am,20.2,17.8,38,N,7 4,9 5,1019.5,0.0,2025-09-25
8:30 am,18.2,15.5,35,NNE,6 3,9 5,1019.7,0.0,2025-09-25
8:00 am,15.9,13.3,43,NNE,6 3,7 4,1019.6,0.0,2025-09-25
7:30 am,14.3,12.9,49,CALM,0 0,0 0,1019.5,0.0,2025-09-25
7:00 am,10.7,8.9,62,ENE,2 1,6 3,1019.5,0.0,2025-09-25
6:30 am,8.1,6.0,74,ENE,4 2,7 4,1019.2,0.0,2025-09-25
6:00 am,8.6,7.2,71,CALM,0 0,0 0,1019.4,0.0,2025-09-25
5:30 am,9.8,7.0,64,ENE,7 4,9 5,1019.2,0.0,2025-09-25
5:00 am,8.3,6.0,79,NNE,6 3,9 5,1019.3,0.0,2025-09-25
4:30 am,8.4,7.2,78,CALM,0 0,0 0,1019.3,0.0,2025-09-25
4:00 am,8.9,7.8,76,CALM,0 0,0 0,1019.3,0.0,2025-09-25
3:30 am,9.1,7.9,74,CALM,0 0,0 0,1019.5,0.0,2025-09-25
3:00 am,9.5,8.4,74,CALM,0 0,0 0,1019.6,0.0,2025-09-25
2:30 am,10.0,8.9,72,CALM,0 0,0 0,1019.8,0.0,2025-09-25
2:00 am,10.2,9.2,72,CALM,0 0,0 0,1019.9,0.0,2025-09-25
1:30 am,10.7,9.6,69,CALM,0 0,0 0,1019.9,0.0,2025-09-25
1:00 am,10.8,9.8,71,CALM,0 0,0 0,1020.1,0.0,2025-09-25
12:30 am,11.3,10.4,70,CALM,0 0,0 0,1020.5,0.0,2025-09-25
12:00 am,11.5,10.7,72,CALM,0 0,0 0,1020.8,0.0,2025-09-25
