Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.1,12.7,56,N,2 1,11 6,1013.8,0.0,2025-10-05
11:00 pm,14.4,12.3,56,NNW,6 3,9 5,1014.0,0.0,2025-10-05
10:30 pm,16.0,13.8,52,N,7 4,13 7,1014.5,0.0,2025-10-05
10:00 pm,16.1,12.9,54,N,13 7,15 8,1015.2,0.0,2025-10-05
9:30 pm,14.4,13.6,59,CALM,0 0,0 0,1015.2,0.0,2025-10-05
9:00 pm,15.0,14.2,56,CALM,0 0,6 3,1015.5,0.0,2025-10-05
8:30 pm,15.8,13.6,53,NE,7 4,9 5,1015.2,0.0,2025-10-05
8:00 pm,16.0,13.5,53,NNE,9 5,11 6,1015.6,0.0,2025-10-05
7:30 pm,19.1,16.1,43,N,11 6,13 7,1015.7,0.0,2025-10-05
7:00 pm,20.1,16.7,40,NNW,13 7,20 11,1015.7,0.0,2025-10-05
6:30 pm,22.0,17.4,37,NW,20 11,26 14,1015.5,0.0,2025-10-05
6:00 pm,23.1,17.1,32,WNW,26 14,39 21,1015.6,0.0,2025-10-05
5:30 pm,23.4,16.4,32,NW,32 17,37 20,1015.6,0.0,2025-10-05
5:00 pm,23.9,17.9,30,WNW,26 14,39 21,1015.6,0.0,2025-10-05
4:30 pm,23.8,16.3,26,WNW,32 17,39 21,1016.0,0.0,2025-10-05
4:00 pm,23.7,16.3,28,NW,32 17,41 22,1016.1,0.0,2025-10-05
3:30 pm,24.4,17.0,27,NW,32 17,41 22,1016.4,0.0,2025-10-05
3:00 pm,24.2,17.8,29,WNW,28 15,37 20,1016.7,0.0,2025-10-05
2:30 pm,24.5,19.0,26,WNW,22 12,33 18,1017.2,0.0,2025-10-05
