Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:00 am,33.0,30.2,14,N,6 3,13 7,1009.9,0.0,2025-02-19
10:30 am,32.0,28.8,16,NE,9 5,19 10,1010.2,0.0,2025-02-19
10:00 am,30.6,27.0,17,NNE,11 6,19 10,1010.4,0.0,2025-02-19
9:30 am,29.6,25.0,19,NE,17 9,24 13,1010.5,0.0,2025-02-19
9:00 am,28.7,24.2,21,NE,17 9,28 15,1010.6,0.0,2025-02-19
8:30 am,26.9,23.4,22,NE,11 6,17 9,1010.9,0.0,2025-02-19
8:00 am,25.3,22.4,26,ENE,9 5,17 9,1010.8,0.0,2025-02-19
7:30 am,23.4,21.8,29,E,2 1,9 5,1010.8,0.0,2025-02-19
7:00 am,20.7,19.0,33,E,2 1,6 3,1010.6,0.0,2025-02-19
6:30 am,18.4,16.4,34,E,2 1,9 5,1010.6,0.0,2025-02-19
6:00 am,18.3,16.7,35,CALM,0 0,6 3,1010.5,0.0,2025-02-19
5:30 am,18.3,16.7,34,CALM,0 0,0 0,1010.3,0.0,2025-02-19
5:00 am,19.0,17.4,33,CALM,0 0,0 0,1010.1,0.0,2025-02-19
4:30 am,19.0,17.4,33,CALM,0 0,6 3,1010.0,0.0,2025-02-19
4:00 am,19.1,17.6,34,CALM,0 0,0 0,1009.8,0.0,2025-02-19
3:30 am,18.8,17.4,37,CALM,0 0,6 3,1009.6,0.0,2025-02-19
3:00 am,18.8,17.5,38,CALM,0 0,0 0,1009.7,0.0,2025-02-19
2:30 am,18.8,18.5,51,CALM,0 0,0 0,1009.7,0.0,2025-02-19
2:00 am,19.6,19.2,48,CALM,0 0,0 0,1009.7,0.0,2025-02-19
1:30 am,20.4,19.9,44,CALM,0 0,7 4,1009.7,0.0,2025-02-19
1:00 am,19.2,19.4,57,CALM,0 0,0 0,1010.1,0.0,2025-02-19
12:30 am,19.4,20.2,64,CALM,0 0,0 0,1010.3,0.0,2025-02-19
12:00 am,20.4,21.2,60,CALM,0 0,0 0,1010.5,0.0,2025-02-19
