Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:00 am,15.2,13.7,74,NNE,9 5,17 9,1024.7,0.0,2025-10-04
8:30 am,13.8,12.5,84,N,9 5,11 6,1025.3,0.0,2025-10-04
8:00 am,13.0,12.2,87,N,6 3,9 5,1025.1,0.0,2025-10-04
7:30 am,11.8,10.5,97,NE,9 5,11 6,1025.0,0.0,2025-10-04
7:00 am,11.2,10.4,100,NE,6 3,9 5,1025.0,0.0,2025-10-04
6:30 am,10.8,9.7,100,NE,7 4,9 5,1024.8,0.0,2025-10-04
6:00 am,10.8,10.7,100,NE,2 1,7 4,1024.6,0.0,2025-10-04
5:30 am,10.9,10.1,100,NE,6 3,9 5,1024.3,0.0,2025-10-04
5:00 am,10.8,10.3,100,NNE,4 2,7 4,1024.1,0.0,2025-10-04
4:30 am,9.6,9.5,100,CALM,0 0,0 0,1024.1,0.0,2025-10-04
4:00 am,9.7,9.7,100,CALM,0 0,0 0,1024.1,0.0,2025-10-04
3:30 am,10.0,10.1,100,CALM,0 0,0 0,1023.9,0.0,2025-10-04
3:00 am,10.2,10.3,100,CALM,0 0,0 0,1023.8,0.0,2025-10-04
2:30 am,10.7,10.9,100,CALM,0 0,0 0,1023.7,0.0,2025-10-04
2:00 am,11.3,11.7,100,CALM,0 0,0 0,1023.6,0.0,2025-10-04
1:30 am,12.5,12.9,92,CALM,0 0,0 0,1023.8,0.0,2025-10-04
1:00 am,13.6,13.9,84,CALM,0 0,0 0,1024.2,0.0,2025-10-04
12:30 am,13.8,13.0,83,NNE,6 3,7 4,1024.4,0.0,2025-10-04
12:00 am,13.8,12.8,83,NNE,7 4,9 5,1024.6,0.0,2025-10-04
