Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
9:30 am,24.3,19.8,23,N,15 8,22 12,1014.8,0.0,2025-10-05
9:00 am,23.6,18.6,23,NNE,17 9,28 15,1014.5,0.0,2025-10-05
8:30 am,22.6,18.0,25,NNE,15 8,22 12,1015.1,0.0,2025-10-05
8:00 am,21.6,17.0,27,NE,15 8,20 11,1014.9,0.0,2025-10-05
7:30 am,21.1,16.9,27,NE,13 7,17 9,1015.2,0.0,2025-10-05
7:00 am,21.3,17.1,27,NNE,13 7,20 11,1014.5,0.0,2025-10-05
6:30 am,21.2,18.0,26,NNE,7 4,13 7,1014.5,0.0,2025-10-05
6:00 am,22.7,18.4,24,NE,13 7,17 9,1013.7,0.0,2025-10-05
5:30 am,22.4,18.5,25,NE,11 6,20 11,1013.4,0.0,2025-10-05
5:00 am,23.2,18.1,23,NE,17 9,26 14,1012.9,0.0,2025-10-05
4:30 am,23.3,17.8,22,NNE,19 10,28 15,1012.8,0.0,2025-10-05
4:00 am,24.9,20.1,20,NNE,15 8,26 14,1012.9,0.0,2025-10-05
3:30 am,24.5,19.7,20,NNE,15 8,22 12,1012.9,0.0,2025-10-05
3:00 am,24.8,19.6,20,NNE,17 9,28 15,1012.9,0.0,2025-10-05
1:30 am,25.3,19.7,19,NNE,19 10,35 19,1013.0,0.0,2025-10-05
1:00 am,25.6,19.9,19,NNE,20 11,39 21,1013.3,0.0,2025-10-05
12:30 am,24.7,19.7,22,NNE,17 9,28 15,1013.9,0.0,2025-10-05
12:00 am,24.5,19.6,23,NE,17 9,28 15,1014.2,0.0,2025-10-05
