Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
1:30 pm,22.7,18.5,40,N,20 11,30 16,1011.2,0.0,2025-10-05
1:00 pm,21.3,16.9,40,N,20 11,33 18,1011.7,0.0,2025-10-05
12:30 pm,20.0,15.4,42,N,20 11,41 22,1012.5,0.0,2025-10-05
12:00 pm,19.2,14.6,44,N,20 11,37 20,1012.8,0.0,2025-10-05
11:30 am,19.2,14.2,43,N,22 12,33 18,1014.1,0.0,2025-10-05
11:00 am,19.6,14.0,40,N,24 13,43 23,1013.8,0.0,2025-10-05
10:48 am,19.7,13.3,39,N,28 15,46 25,1013.7,0.0,2025-10-05
10:30 am,19.4,14.3,41,N,22 12,35 19,1013.7,0.0,2025-10-05
10:00 am,19.5,14.4,41,N,22 12,32 17,1014.1,0.0,2025-10-05
9:30 am,19.0,14.1,45,N,22 12,35 19,1015.0,0.0,2025-10-05
9:00 am,19.8,13.6,41,NNW,28 15,48 26,1015.3,0.0,2025-10-05
8:31 am,19.5,13.3,42,N,28 15,46 25,1013.9,0.0,2025-10-05
8:30 am,19.5,13.7,42,N,26 14,46 25,1013.9,0.0,2025-10-05
8:00 am,18.8,13.8,45,N,22 12,39 21,1014.1,0.0,2025-10-05
7:30 am,18.5,13.2,47,N,24 13,44 24,1014.3,0.0,2025-10-05
7:00 am,17.7,13.4,50,N,19 10,32 17,1014.4,0.0,2025-10-05
6:30 am,17.1,13.0,54,N,19 10,30 16,1014.5,0.0,2025-10-05
6:00 am,17.0,13.3,55,N,17 9,30 16,1014.4,0.0,2025-10-05
5:30 am,17.0,13.7,55,N,15 8,24 13,1014.6,0.0,2025-10-05
5:00 am,17.2,12.9,54,NNW,20 11,30 16,1015.0,0.0,2025-10-05
4:30 am,17.4,13.0,52,N,20 11,32 17,1014.7,0.0,2025-10-05
4:00 am,17.6,13.2,52,N,20 11,32 17,1014.8,0.0,2025-10-05
3:30 am,17.2,13.3,52,N,17 9,26 14,1015.4,0.0,2025-10-05
3:00 am,16.1,13.8,57,NNE,9 5,13 7,1015.6,0.0,2025-10-05
1:30 am,17.1,14.4,53,N,11 6,17 9,1016.2,0.0,2025-10-05
1:00 am,17.4,14.4,52,N,13 7,20 11,1016.7,0.0,2025-10-05
12:30 am,17.5,14.8,52,N,11 6,17 9,1017.4,0.0,2025-10-05
12:00 am,17.3,14.7,53,N,11 6,19 10,1017.8,0.0,2025-10-05
